year,scenario,segment,GgCO2e,pct_of_state,content_description,estimation_tier
2022,high,S only — state tax unique,198.2,1.5,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2022,high,F only — federal tax unique,2893.8,21.92,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2022,high,Uncovered,5687.2,43.08,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2022,high,S gross (state tax),4572.0,34.63,,Tier 3
2022,high,F gross (federal tax),3367.6,25.51,,Tier 3
2022,high,E gross (pilot ETS),4189.8,31.74,,Tier 3
2022,high,S∪F∪E deduplicated union,7465.8,56.55,,Tier 3
2025,central,S∩F∩E — all three instruments,209.5,1.58,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2025,central,S∩E only — state tax + ETS,3786.2,28.47,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2025,central,S∩F only — state tax + federal,210.9,1.59,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2025,central,S only — state tax unique,342.9,2.58,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2025,central,F only — federal tax unique,2981.4,22.42,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2025,central,Uncovered,5766.0,43.36,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2025,central,S gross (state tax),4549.5,34.21,,Tier 3
2025,central,F gross (federal tax),3401.9,25.58,,Tier 3
2025,central,E gross (pilot ETS),3995.7,30.05,,Tier 3
2025,central,S∪F∪E deduplicated union,7530.9,56.64,,Tier 3
2025,low,S∩F∩E — all three instruments,107.9,0.86,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2025,low,S∩E only — state tax + ETS,3437.2,27.26,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2025,low,S∩F only — state tax + federal,203.9,1.62,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2025,low,S only — state tax unique,497.7,3.95,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2025,low,F only — federal tax unique,2807.7,22.27,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2025,low,Uncovered,5554.6,44.05,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2025,low,S gross (state tax),4246.7,33.68,,Tier 3
2025,low,F gross (federal tax),3119.5,24.74,,Tier 3
2025,low,E gross (pilot ETS),3545.1,28.12,,Tier 3
2025,low,S∪F∪E deduplicated union,7054.4,55.95,,Tier 3
2025,high,S∩F∩E — all three instruments,331.7,2.39,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2025,high,S∩E only — state tax + ETS,4035.7,29.03,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2025,high,S∩F only — state tax + federal,197.5,1.42,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2025,high,S only — state tax unique,220.4,1.59,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2025,high,F only — federal tax unique,3116.2,22.42,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2025,high,Uncovered,5997.9,43.15,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2025,high,S gross (state tax),4785.3,34.43,,Tier 3
2025,high,F gross (federal tax),3645.5,26.23,,Tier 3
2025,high,E gross (pilot ETS),4367.4,31.42,,Tier 3
2025,high,S∪F∪E deduplicated union,7901.5,56.85,,Tier 3
2026,central,S∩F∩E — all three instruments,214.4,1.61,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2026,central,S∩E only — state tax + ETS,3766.8,28.22,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2026,central,S∩F only — state tax + federal,213.6,1.6,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2026,central,S only — state tax unique,349.1,2.62,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2026,central,F only — federal tax unique,3011.2,22.56,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2026,central,Uncovered,5793.0,43.4,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2026,central,S gross (state tax),4543.9,34.04,,Tier 3
2026,central,F gross (federal tax),3439.1,25.76,,Tier 3
2026,central,E gross (pilot ETS),3981.2,29.83,,Tier 3
2026,central,S∪F∪E deduplicated union,7555.1,56.6,,Tier 3
2026,low,S∩F∩E — all three instruments,106.8,0.86,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2026,low,S∩E only — state tax + ETS,3342.0,26.88,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2026,low,S∩F only — state tax + federal,201.8,1.62,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2026,low,S only — state tax unique,493.6,3.97,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2026,low,F only — federal tax unique,2779.6,22.35,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2026,low,Uncovered,5511.4,44.32,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2026,low,S gross (state tax),4144.2,33.33,,Tier 3
2026,low,F gross (federal tax),3088.2,24.83,,Tier 3
2026,low,E gross (pilot ETS),3448.8,27.73,,Tier 3
2026,low,S∪F∪E deduplicated union,6923.8,55.68,,Tier 3
2026,high,S∩F∩E — all three instruments,347.1,2.45,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2026,high,S∩E only — state tax + ETS,4083.8,28.84,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2026,high,S∩F only — state tax + federal,202.4,1.43,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2026,high,S only — state tax unique,228.4,1.61,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2026,high,F only — federal tax unique,3194.1,22.55,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2026,high,Uncovered,6105.8,43.12,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2026,high,S gross (state tax),4861.6,34.33,,Tier 3
2026,high,F gross (federal tax),3743.5,26.43,,Tier 3
2026,high,E gross (pilot ETS),4430.9,31.29,,Tier 3
2026,high,S∪F∪E deduplicated union,8055.8,56.88,,Tier 3
