source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
FIXED,Mezclas_quimicas,,0.0,0.0,0.0,0.0,Annex IV; chemical mixtures; GHG negligible,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_chemical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Plastico_y_hule,,2834.8,0.1,0.0,0.0,Annex IV,2.8348,0.0028,0.0,2.8376,0.0,True,False,manufacturing_plastics,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.63846,0.07093999999999999,1.91538,0.21281999999999995,0.0,0.0,0.0,0.0,0.22700800000000002,0.056752,2.043072,0.5107679999999999,0.0,0.0,0.0,0.0,1.2386124,0.03830760000000004,1.5138596000000002,0.04682040000000005,0.0,0.0,0.0,0.0
FIXED,Petroleo_petroquimica,,0.0,0.0,0.0,0.0,Annex IV; limited GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_petrochem,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Quimica,,82989.1,0.7,2.6,0.3,Annex IV; chemical industry combustion,82.98910000000001,0.0196,0.689,83.6977,0.0,True,False,manufacturing_chemical,True,0.88,0.78,0.95,0.65,0.45,0.85,Fixed Quimica: F=0.88; E=0.65,47.8750844,6.5284206,25.778891599999998,3.5153033999999996,0.0,0.0,0.0,0.0,29.3778927,8.286072299999999,35.9063133,10.1274217,0.0,0.0,0.0,0.0,67.58589274999999,3.5571522500000032,11.92692225,0.6277327500000007,0.0,0.0,0.0,0.0
FIXED,Vidrio,,106469.7,1.6,1.0,2.5,Annex IV; glass industry; combustion + some calcination,106.4697,0.0448,0.265,106.7795,0.0,True,False,industrial_process_glass,True,0.96,0.88,0.99,0.85,0.7,0.98,Fixed Vidrio: F=0.96; E=0.85,87.132072,3.630503000000003,15.376248000000002,0.6406770000000006,0.0,0.0,0.0,0.0,65.77617199999999,8.969477999999999,28.189788000000004,3.8440620000000005,0.0,0.0,0.0,0.0,103.59747089999999,1.0464391000000008,2.114234100000002,0.02135590000000004,0.0,0.0,0.0,0.0
FIXED,Residual_fixed_sectors,,37265.2,1.0,0.2,0.0,Residual CO2 from sectors showing 0.0 in Annex IV (Automotriz/Accesorios/Petroquimica/Mezclas): reconciles FIXED total to 1504259.4 Mg,37.2652,0.028,0.053,37.3462,0.0,True,False,manufacturing_other_small,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,8.402895000000001,0.9336549999999999,25.208685000000003,2.8009649999999997,0.0,0.0,0.0,0.0,2.9876960000000006,0.7469239999999999,26.889264000000004,6.722315999999999,0.0,0.0,0.0,0.0,16.3016163,0.5041737000000005,19.9241977,0.6162123000000006,0.0,0.0,0.0,0.0
AREA,Combustion_agricola,,66496.5,4.9,1.1,26.3,Annex IV corrected: reduced to reconcile AREA total (96395 - 29899 residual adjustment),66.4965,0.1372,0.2915,66.9252,0.0,True,False,area_agri_combustion,False,0.0,0.0,0.0,0.0,0.0,0.0,Ag burning / forest fires: exempt from state tax; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9252
AREA,Combustion_comercial,,113538.0,1.7,7.5,0.3,Annex IV; commercial LPG/gas combustion; small stationary,113.538,0.0475999999999999,1.9875,115.5731,0.0,True,False,area_commercial,True,0.8,0.65,0.92,0.0,0.0,0.0,Commercial combustion: S(stationary); F(LPG dominant); E=0,0.0,0.0,92.45848000000001,23.114619999999995,0.0,0.0,0.0,0.0,0.0,0.0,75.122515,40.450585,0.0,0.0,0.0,0.0,0.0,0.0,106.327252,9.245847999999995,0.0,0.0,0.0,0.0
AREA,Combustion_doméstica,,626298.9,359.5,34.3,331.4,Annex IV; leña (wood) dominant — biogenic CO2 included in inventory totals; CH4/N2O fossil,626.2989,10.066,9.0895,645.4544000000001,0.0,True,True,area_residential,True,0.27,0.17,0.4275,0.0,0.0,0.0,Domestic: S(stationary); ~70% biogenic wood CO2 not priced; LPG fraction in F; E=0,0.0,0.0,174.27268800000004,471.18171200000006,0.0,0.0,0.0,0.0,0.0,0.0,109.72724800000002,535.727152,0.0,0.0,0.0,0.0,0.0,0.0,275.931756,369.52264400000007,0.0,0.0,0.0,0.0
AREA,Combustion_industrial,,36326.1,1.1,0.2,1.4,Annex IV; area-source industrial combustion (small facilities not in fixed registry),36.3261,0.0308,0.053,36.40989999999999,0.0,True,False,area_industrial_small,True,0.9,0.8,0.97,0.0,0.0,0.0,Area industrial combustion: small facilities in S; below ETS threshold,0.0,0.0,32.76891,3.6409899999999986,0.0,0.0,0.0,0.0,0.0,0.0,29.127919999999996,7.281979999999997,0.0,0.0,0.0,0.0,0.0,0.0,35.31760299999999,1.0922970000000007,0.0,0.0,0.0,0.0
AREA,Emisiones_ganaderas,,0.0,7663.7,0.0,0.0,Annex IV; livestock CH4 only,0.0,214.5836,0.0,214.5836,0.0,True,False,afolu_livestock,False,0.0,0.0,0.0,0.0,0.0,0.0,Livestock CH4: exempt from state tax (agricultural); not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5836
AREA,Quemas_agricolas,,337764.8,289.9,15.9,164.0,Annex IV; agricultural burning,337.7648,8.1172,4.213500000000001,350.0955,0.0,True,False,afolu_burning,False,0.0,0.0,0.0,0.0,0.0,0.0,Ag burning / forest fires: exempt from state tax; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0955
AREA,Incendios_forestales,,18348.3,45.4,2.6,7.0,Annex IV,18.3483,1.2712,0.689,20.3085,0.0,True,True,afolu_fire,False,0.0,0.0,0.0,0.0,0.0,0.0,Ag burning / forest fires: exempt from state tax; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3085
WASTE,Aguas_residuales_area,,0.0,3515.8,17.0,0.0,Annex IV; wastewater CH4/N2O; Cuadro 12 excludes from AREA total; treated as separate waste sector,0.0,98.4424,4.505,102.9474,0.0,True,False,waste_wastewater,False,0.0,0.0,0.0,0.0,0.0,0.0,Wastewater (WASTE source): not in Morelos state tax scope; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9474
MOBILE,Automovel_particular,,846510.8,69.4,42.5,15.6,Annex IV; on-road private cars,846.5108,1.9432,11.2625,859.7165000000001,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Automovel_particular: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,859.7165000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.7165000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.7165000000001,0.0,0.0,0.0
MOBILE,Taxi,,158793.3,6.6,2.0,0.8,Annex IV,158.7933,0.1848,0.53,159.50809999999998,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Taxi: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,159.50809999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.50809999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.50809999999998,0.0,0.0,0.0
MOBILE,Camioneta_particular,,415846.8,39.4,30.4,4.6,Annex IV; private vans,415.8468,1.1032,8.056,425.006,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Camioneta_particular: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,425.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.006,0.0,0.0,0.0
MOBILE,Camioneta_transp_publico,,32655.0,1.5,0.4,0.1,Annex IV,32.655,0.042,0.106,32.803000000000004,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Camioneta_transp_publico: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,32.803000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.803000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.803000000000004,0.0,0.0,0.0
MOBILE,Pickup,,328349.8,52.3,45.2,15.7,Annex IV,328.3498,1.4644,11.978000000000002,341.79220000000004,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Pickup: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,341.79220000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.79220000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.79220000000004,0.0,0.0,0.0
MOBILE,Autobus,,108302.9,6.3,0.4,52.0,Annex IV,108.3029,0.1764,0.106,108.5853,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Autobus: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,108.5853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5853,0.0,0.0,0.0
MOBILE,Veh_menos_3_8ton,,177169.4,17.2,10.7,3.8,Annex IV; vehicles <3.8t,177.1694,0.4816,2.8355,180.4865,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Veh_menos_3_8ton: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,180.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.4865,0.0,0.0,0.0
MOBILE,Veh_mas_3_8ton,,119635.3,25.6,0.7,28.5,Annex IV,119.6353,0.7168,0.1855,120.5376,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Veh_mas_3_8ton: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,120.5376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5376,0.0,0.0,0.0
MOBILE,Tractocamion,,167006.9,45.2,0.6,33.9,Annex IV; heavy trucks,167.0069,1.2656,0.1589999999999999,168.4315,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Tractocamion: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,168.4315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.4315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.4315,0.0,0.0,0.0
MOBILE,Autobus_publico_municipal,,105913.1,10.1,0.2,45.8,Annex IV,105.9131,0.2828,0.053,106.2489,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Autobus_publico_municipal: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,106.2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2489,0.0,0.0,0.0
MOBILE,Motocicleta,,159168.4,23.9,1.9,1.9,Annex IV; motorcycles,159.1684,0.6691999999999999,0.5035,160.34109999999998,0.0,True,False,mobile_road,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Motocicleta: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,160.34109999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.34109999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.34109999999998,0.0,0.0,0.0
MOBILE_NONROAD,Aviacion,,1037.0,0.1,0.0,0.0,Annex IV; aviation,1.037,0.0028,0.0,1.0397999999999998,0.0,True,False,mobile_nonroad,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Aviacion: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,1.0397999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397999999999998,0.0,0.0,0.0
MOBILE_NONROAD,Locomotoras,,594.3,0.0,0.2,0.3,Annex IV; railways,0.5942999999999999,0.0,0.053,0.6473,0.0,True,False,mobile_nonroad,False,0.9,0.9,0.9,0.0,0.0,0.0,Mobile Locomotoras: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,0.58257,0.0,0.0,0.06472999999999998,0.0,0.0,0.0,0.0,0.58257,0.0,0.0,0.06472999999999998,0.0,0.0,0.0,0.0,0.58257,0.0,0.0,0.06472999999999998
MOBILE_NONROAD,Lanchas_recreativas,,0.0,0.0,0.0,0.0,Annex IV; recreational boats,0.0,0.0,0.0,0.0,0.0,True,False,mobile_nonroad,False,1.0,1.0,1.0,0.0,0.0,0.0,Mobile Lanchas_recreativas: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILE_NONROAD,Terminal_autobuses,,0.0,0.0,0.0,0.0,Annex IV,0.0,0.0,0.0,0.0,0.0,True,False,mobile_nonroad,False,0.9,0.9,0.9,0.0,0.0,0.0,Mobile Terminal_autobuses: exempt from state tax; F=taxable fuels; E=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
