source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector
MOBILE,Pickup,,328349.8,52.3,45.2,15.7,Annex IV,328.3498,1.4644,11.978000000000002,341.79220000000004,0.0,True,False,mobile_road
MOBILE,Autobus,,108302.9,6.3,0.4,52.0,Annex IV,108.3029,0.1764,0.10600000000000001,108.58529999999999,0.0,True,False,mobile_road
MOBILE,Veh_menos_3_8ton,,177169.4,17.2,10.7,3.8,Annex IV; vehicles <3.8t,177.1694,0.48160000000000003,2.8354999999999997,180.48649999999998,0.0,True,False,mobile_road
MOBILE,Veh_mas_3_8ton,,119635.3,25.6,0.7,28.5,Annex IV,119.6353,0.7168,0.1855,120.53760000000001,0.0,True,False,mobile_road
MOBILE,Tractocamion,,167006.9,45.2,0.6,33.9,Annex IV; heavy trucks,167.0069,1.2656,0.15899999999999997,168.4315,0.0,True,False,mobile_road
MOBILE,Autobus_publico_municipal,,105913.1,10.1,0.2,45.8,Annex IV,105.9131,0.2828,0.053000000000000005,106.24889999999999,0.0,True,False,mobile_road
MOBILE,Motocicleta,,159168.4,23.9,1.9,1.9,Annex IV; motorcycles,159.1684,0.6691999999999999,0.5035,160.34109999999998,0.0,True,False,mobile_road
MOBILE_NONROAD,Aviacion,,1037.0,0.1,0.0,0.0,Annex IV; aviation,1.037,0.0028,0.0,1.0397999999999998,0.0,True,False,mobile_nonroad
MOBILE_NONROAD,Locomotoras,,594.3,0.0,0.2,0.3,Annex IV; railways,0.5942999999999999,0.0,0.053000000000000005,0.6473,0.0,True,False,mobile_nonroad
MOBILE_NONROAD,Lanchas_recreativas,,0.0,0.0,0.0,0.0,Annex IV; recreational boats,0.0,0.0,0.0,0.0,0.0,True,False,mobile_nonroad
MOBILE_NONROAD,Terminal_autobuses,,0.0,0.0,0.0,0.0,Annex IV,0.0,0.0,0.0,0.0,0.0,True,False,mobile_nonroad
